rank	word	hsk_level	pos	tier_in_166	note	opus_freq	df_pct
100	等	HSK2	助、名	core162		101220	96.9453
101	可能	HSK2	动、形、名	core162		101974	95.0304
102	从	HSK1	介	core162		99740	96.4134
103	这些	HSK1	代	core162		98498	95.0152
104	应该	HSK2	动	core162		98355	94.924
105	觉得	HSK1	动	core162		100989	91.9301
106	但是	HSK2	连	core162		103172	87.5988
107	死	HSK3	动、形	core162		96632	93.1307
108	多	HSK2	副	core162		92319	97.1125
109	那么	HSK2	代	core162		92932	94.1185
110	一起	HSK1	副、名	core162		90346	95.6839
111	所以	HSK2	连	core162		91359	93.0091
112	为	HSK3	介	core162		89781	94.6353
113	一下			core162		90475	93.2067
114	一样	HSK1	形	core162		87292	95.8207
115	还是	HSK1	副、连	core162		85551	95.5015
116	问题	HSK2	名	core162		85385	92.31
117	才	HSK4	名	core162		84268	93.1611
118	用	HSK1	动	core162		81885	95.8055
119	看到	HSK1		core162		85036	91.383
120	哦	HSK7-9	叹	core162		109214	69.3161
121	开始	HSK3	动、名	core162		79695	93.6322
122	回来	HSK1		core162		77377	95.0304
123	真	HSK1	副、形	core162		79477	91.9605
124	孩子	HSK1	名	core162		86977	83.1307
125	当	HSK6	动	core162		76266	93.0851
126	一定	HSK2	形、副	core162		76733	92.234
127	看看			core162		74760	93.7994
128	拿	HSK1	动	core162		74633	93.1763
129	帮	HSK1	动	core162		74847	92.5684
130	吃	HSK1	动	core162		77278	89.4529
131	而	HSK4	连	core162		76080	88.1155
132	当然	HSK3	形、副	core162		71929	92.2036
133	然后	HSK2	连	core162		72374	89.0729
134	地方	HSK4	名	core162		68848	93.465
135	没事			core162		74041	86.5653
136	今天	HSK1	名	core162		68495	92.614
137	点	HSK1	量、动、名	core162		69355	90.4863
138	朋友	HSK1	名	core162		71430	87.7812
139	只	HSK3	量	core162		66118	93.2371
140	的话	HSK2	助	core162		68869	89.3769
141	起来	HSK1		core162		65662	93.3435
142	工作	HSK1	动、名	core162		71501	84.4377
143	不想			core162		65494	91.9453
144	希望	HSK3	动、名	core162		66511	90.4711
145	中	HSK1	名	core162		66913	89.3313
146	时间	HSK1	名	core162		65239	91.3222
147	离开	HSK2		core162		66710	89.1337
148	一	HSK1	数	core162		63811	92.0821
149	一点			core162		63905	91.7173
150	们			core162		72387	80.7143
151	对不起	HSK1	动	core162		67293	86.4134
152	一直	HSK2	副	core162		63417	91.0638
153	将	HSK5	副、介	core162		70359	80.9726
154	最	HSK1	副	core162		63040	90.3495
155	找到	HSK1		core162		64204	88.3739
156	哪	HSK4	助	core162		67086	84.4377
157	太	HSK1	副	core162		61742	91.5046
158	爱	HSK1	动	core162		68309	81.8389
159	打	HSK5	介	core162		64182	86.535
160	那些	HSK1	代	core162		62953	87.538
161	明白	HSK1	形、动	core162		62921	87.234
162	相信	HSK2	动	core162		62103	88.2067
182	呀	HSK4	助	Tier2_particle	啊 변형	85703	57.1429
186	啦	HSK6	助	Tier2_particle	了+啊 합음	71299	65.7903
199	嗯			Tier2_particle	동의·고민	67692	63.5562
201	嘿	HSK7-9	叹	greeting	부름·놀람 (영화 多)	74453	57.5988
259	喂	HSK4	动	greeting	전화 必須	41070	68.769
275	嗨			greeting	캐주얼 인사	44794	55.5015
300	嘛	HSK6	助	Tier2_particle	당연·설명	34605	59.848
